olympic_event_id,discipline_name,olympic_event_name,gender_name
11,Archery,Men's Individual,Men
24,Archery,Men's Team,Men
28,Archery,Women's Individual,Women
29,Archery,Women's Team,Women
32,Athletics,"Men's 10,000m",Men
33,Athletics,Men's 100m,Men
35,Athletics,Men's 110m Hurdles,Men
36,Athletics,Men's 1500m,Men
38,Athletics,Men's 200m,Men
40,Athletics,Men's 20km Walk,Men
45,Athletics,Men's 3000m Steeplechase,Men
50,Athletics,Men's 4 x 100m Relay,Men
51,Athletics,Men's 4 x 400m Relay,Men
53,Athletics,Men's 400m,Men
54,Athletics,Men's 400m Hurdles,Men
56,Athletics,Men's 5000m,Men
58,Athletics,Men's 50km Walk,Men
61,Athletics,Men's 800m,Men
65,Athletics,Men's Decathlon,Men
66,Athletics,Men's Discus Throw,Men
69,Athletics,Men's Hammer Throw,Men
70,Athletics,Men's High Jump,Men
71,Athletics,Men's Javelin Throw,Men
74,Athletics,Men's Long Jump,Men
75,Athletics,Men's Marathon,Men
77,Athletics,Men's Pole Vault,Men
78,Athletics,Men's Shot Put,Men
83,Athletics,Men's Triple Jump,Men
84,Athletics,"Women's 10,000m",Women
85,Athletics,Women's 100m,Women
86,Athletics,Women's 100m Hurdles,Women
88,Athletics,Women's 1500m,Women
89,Athletics,Women's 200m,Women
90,Athletics,Women's 20km Walk,Women
92,Athletics,Women's 3000m Steeplechase,Women
93,Athletics,Women's 4 x 100m Relay,Women
94,Athletics,Women's 4 x 400m Relay,Women
95,Athletics,Women's 400m,Women
96,Athletics,Women's 400m Hurdles,Women
97,Athletics,Women's 5000m,Women
98,Athletics,Women's 800m,Women
100,Athletics,Women's Discus Throw,Women
101,Athletics,Women's Hammer Throw,Women
102,Athletics,Women's Heptathlon,Women
103,Athletics,Women's High Jump,Women
104,Athletics,Women's Javelin Throw,Women
105,Athletics,Women's Long Jump,Women
106,Athletics,Women's Marathon,Women
108,Athletics,Women's Pole Vault,Women
109,Athletics,Women's Shot Put,Women
110,Athletics,Women's Triple Jump,Women
111,Badminton,Men's Doubles,Men
112,Badminton,Men's Singles,Men
113,Badminton,Women's Doubles,Women
114,Badminton,Women's Singles,Women
115,Badminton,Mixed Doubles,Mixed
117,Basketball,Men,Men
118,Basketball,Women,Women
119,Beach Volleyball,Men,Men
120,Beach Volleyball,Women,Women
121,Boxing,Men's Bantam (56kg),Men
123,Boxing,Men's Fly (52kg),Men
124,Boxing,Men's Heavy (91kg),Men
125,Boxing,Men's Light (60kg),Men
126,Boxing,Men's Light Fly (49kg),Men
127,Boxing,Men's Light Heavy (81kg),Men
128,Boxing,Men's Light Welter (64kg),Men
130,Boxing,Men's Middle (75kg),Men
131,Boxing,Men's Super Heavy (+91kg),Men
132,Boxing,Men's Welter (69kg),Men
133,Boxing,Women's Fly (51kg),Women
134,Boxing,Women's Light (60kg),Women
135,Boxing,Women's Middle (75kg),Women
136,Canoe Slalom,Canoe Double (C2) Men,Men
137,Canoe Slalom,Canoe Single (C1) Men,Men
138,Canoe Slalom,Kayak (K1) Men,Men
139,Canoe Slalom,Kayak (K1) Women,Women
140,Canoe Sprint,Canoe Double (C2) 1000m Men,Men
141,Canoe Sprint,Canoe Single (C1) 1000m Men,Men
142,Canoe Sprint,Canoe Single (C1) 200m Men,Men
143,Canoe Sprint,Kayak Double (K2) 1000m Men,Men
